season,Equipo,Puntos F1GOAT (Temporada),puntos_total,factor,gps_disputados
1999,Stewart,73.163,117.06,0.625004271313856,16
2012,Ferrari,78.825,157.65000000000003,0.4999999999999999,20
2024,Alpine F1 Team,67.629,162.31,0.4166656398250262,24
2024,RB F1 Team,68.587,164.60999999999999,0.41666362918413224,24
1959,Christensen,51.0,5.1,10.0,1
1959,Kuzma,63.0,6.3,10.0,1
1991,McLaren,81.113,129.78,0.6250038526737556,16
1991,Williams,79.894,127.83,0.6250019557224439,16
1992,McLaren,77.1,123.36000000000001,0.6249999999999999,16
1992,Williams,82.931,132.69,0.6249981159092621,16
1993,Team Lotus,64.894,103.82999999999998,0.6250024077819514,16
1994,Ferrari,74.719,119.55000000000001,0.6250020911752404,16
2017,Haas F1 Team,68.52,137.04000000000002,0.4999999999999999,20
2017,Sauber,63.675,127.34999999999998,0.5000000000000001,20
2019,Red Bull Racing,80.438,168.92000000000002,0.4761899123845607,21
2023,Ferrari,79.145,174.11999999999998,0.45454284401562145,22
2007,Toro Rosso,62.276,105.87000000000002,0.5882308491546235,17
2023,AlphaTauri,66.805,146.97,0.4545485473225829,22
1998,Jordan,73.369,117.39000000000001,0.6250021296532924,16
1999,Jordan,75.431,120.69,0.6249979285773469,16
2008,Force India,60.283,108.50999999999998,0.5555524836420608,18
2009,Force India,66.212,112.55999999999997,0.5882373845060413,17
2018,Force India,71.957,151.11,0.47618953080537346,21
1950,Cooper,57.0,5.7,10.0,1
1951,Ferrari,79.354,55.548,1.428566285014762,7
1952,Frazer Nash,67.8,27.12,2.5,4
1952,Gordini,72.314,50.61999999999999,1.4285657842749901,7
1953,Stevens,60.9,6.09,10.0,1
1954,Stevens,58.4,5.84,10.0,1
1955,Arzani-Volpini,49.4,4.94,9.999999999999998,1
1956,Vanwall,71.03,35.515,2.0,5
1962,BRM,75.212,67.691,1.111107828219409,9
1962,Brabham,74.6,22.38,3.333333333333333,3
1963,BRP,73.56,36.78,2.0,5
1965,Honda,72.338,57.870000000000005,1.250008640055296,8
1969,Ferrari,76.77,76.77,1.0,10
1969,Lotus-Ford,76.413,84.05399999999999,0.9090941537582984,11
1972,McLaren,80.008,96.00999999999999,0.8333298614727633,12
1973,BRM,69.073,103.61,0.6666634494739889,15
